pair,depth_m,depth_cm,common_width_m,common_coverage_fraction,of_original_common_width_m,matched_width_m,matched_coverage_fraction,of_matched_integral_m2_per_s,piv_matched_integral_m2_per_s,of_matched_mean_u_m_per_s,piv_matched_mean_u_m_per_s,matched_integral_difference_of_minus_piv_m2_per_s,matched_mean_absolute_difference_m_per_s,matched_rms_difference_m_per_s,matched_supported_component_count,matched_longest_gap_m,of_common_integral_m2_per_s,piv_common_integral_m2_per_s,of_common_mean_u_m_per_s,piv_common_mean_u_m_per_s,common_available_at_depth,of_original_covered_integral_m2_per_s,of_original_coverage_fraction,of_original_common_integral_m2_per_s,piv_on_of_original_common_integral_m2_per_s,piv_on_of_original_common_available,piv_fraction_of_of_original_common_width,piv_own_integral_m2_per_s,piv_own_coverage_fraction,piv_own_mean_u_m_per_s,of_finite_dcor_matched_integral_m2_per_s,piv_finite_dcor_matched_integral_m2_per_s,finite_dcor_matched_coverage_fraction
80,0.0013000000000000002,0.13,0.0,0.0,0.06362412269623888,0.022375801587664827,0.19335937499999994,0.001278783528676324,0.0011355383186741723,0.0571502890596457,0.05074849784600181,0.0001432452100021517,0.006889671257466385,0.01139526566360215,53,0.0123179917831084,nan,nan,nan,nan,False,0.004699563682688873,0.7080078124999999,0.003646881651574652,nan,False,0.29484902309058614,0.0014377218944087063,0.24902343749999997,0.04989089488913337,0.00047620900935624506,0.00046637479635588817,0.07421875
80,0.0014,0.13999999999999999,0.0,0.0,0.06362412269623888,0.027461211039406838,0.2373046875,0.001507747651364855,0.001341099623410467,0.054904630724451196,0.048836142786492155,0.00016664802795438808,0.006477184173500216,0.010907178443881388,54,0.008249664221714819,nan,nan,nan,nan,False,0.004848302833837586,0.7656249999999999,0.003487230109246276,nan,False,0.31793960923623454,0.0015860491794511516,0.2861328125,0.04790001143802193,0.0007072695792529366,0.0006806464353400893,0.11425781249999999
80,0.0015,0.15,0.0,0.0,0.06362412269623888,0.03006042031474164,0.25976562499999994,0.0015855890388781794,0.0014270084825043273,0.05274673548395483,0.047471341636714307,0.00015858055637385212,0.005680456721972484,0.009555341539540288,64,0.003955318462466008,nan,nan,nan,nan,False,0.00508060040470354,0.8378906249999998,0.003332716105438164,nan,False,0.31793960923623454,0.0015686742032785042,0.291015625,0.04658038550439589,0.0007086211824492294,0.0006841536474120021,0.119140625
80,0.0016,0.16,0.0,0.0,0.06362412269623888,0.02893032932546564,0.25,0.001461846967306832,0.001299156591491745,0.05052991104460244,0.04490638792515144,0.000162690375815087,0.006197229234012883,0.010052597859219017,66,0.00463337305603161,nan,nan,nan,nan,False,0.005105483773908844,0.8808593749999999,0.003183226135305587,nan,False,0.28241563055062174,0.0013677521369148268,0.2646484375,0.04466061497408885,0.0006501348428093227,0.0006268883620222387,0.11425781249999999
80,0.0017000000000000001,0.17,0.0,0.0,0.06362412269623888,0.030399447611524442,0.2626953125,0.0014749291464272512,0.0013532412389865207,0.048518287742442566,0.044515323313753456,0.00012168790744073051,0.00481916594864698,0.00799486961468619,66,0.00463337305603161,nan,nan,nan,nan,False,0.005026562058845374,0.9082031249999997,0.0030387269487259032,nan,False,0.3019538188277088,0.0014271000310915652,0.2783203125,0.04430942798113839,0.0007330060624990805,0.0007054174604423427,0.13281249999999997
80,0.0018000000000000002,0.18000000000000002,0.0,0.0,0.06362412269623888,0.032094584095438444,0.27734375,0.0014772751472004156,0.0013783945205785198,0.046028798591298103,0.04294788542763603,9.888062662189584e-05,0.00404201784855726,0.007099489368109968,66,0.00463337305603161,nan,nan,nan,nan,False,0.0049080840557339895,0.9326171874999997,0.0028998352008198958,nan,False,0.3019538188277088,0.0014442231669196432,0.2919921875,0.04274149481431789,0.0007515500566203936,0.0007255227788598134,0.14257812500000003
80,0.0019,0.19,0.0,0.0,0.06362412269623888,0.034693793370773246,0.29980468749999994,0.0015031722362064096,0.0014274898708049846,0.04332683428825377,0.04114539611017373,7.568236540142492e-05,0.0033339430739942576,0.005917299940593641,70,0.0037293002646108077,nan,nan,nan,nan,False,0.004721606267771244,0.9423828124999998,0.0027673153186349706,nan,False,0.3090586145648313,0.0014734494408222014,0.30957031249999994,0.04113036503839853,0.0007257875352257306,0.0007104938104580594,0.146484375
80,0.002,0.2,0.0,0.0,0.06362412269623888,0.03525883886541124,0.30468749999999994,0.001453038966396597,0.0014088170723313676,0.04121063010449903,0.03995642277696815,4.422189406522951e-05,0.0027823419292704785,0.004643749629155631,71,0.004294345759248809,nan,nan,nan,nan,False,0.004527031142366874,0.9492187499999998,0.002641726857152744,nan,False,0.32682060390763773,0.0014718848578462722,0.31835937499999994,0.03995239559794079,0.0006115008417632748,0.0006025844984291905,0.12792968749999997
80,0.0021000000000000003,0.21000000000000002,0.0,0.0,0.06362412269623888,0.038762120932166855,0.3349609375,0.0015183957618649117,0.0014841697766244573,0.03917215377667497,0.038289178737709754,3.4225985240454466e-05,0.002182796943305839,0.0034389324190424292,69,0.0049724003528144115,nan,nan,nan,nan,False,0.004338721285647565,0.9550781249999998,0.002523379380046704,nan,False,0.36056838365896987,0.0015511792871968143,0.34960937499999994,0.03834118737322652,0.0007242668977489409,0.0007189788278608185,0.15917968749999997
80,0.0022,0.22,0.0,0.0,0.06362412269623888,0.03819707543752886,0.330078125,0.0014295508010490595,0.0014151328012783587,0.03742566111866557,0.037048197671384606,1.4417999770700764e-05,0.0018991267737380661,0.0028967836613628625,68,0.0049724003528144115,nan,nan,nan,nan,False,0.004147780911127087,0.9580078124999998,0.0024123920325467615,nan,False,0.36056838365896987,0.0014798775258212332,0.34472656249999994,0.03709690324355692,0.0007034524944854123,0.0006988817717799204,0.162109375
