depth_mm,pair_80_optical_flow_mean_cm_per_s,pair_80_piv_mean_cm_per_s,pair_80_matched_coverage_percent,pair_100_optical_flow_mean_cm_per_s,pair_100_piv_mean_cm_per_s,pair_100_matched_coverage_percent
1.500000000000000000e+00,5.274673548395482747e+00,4.747134163671431040e+00,2.597656249999999289e+01,7.514356932151260438e+00,5.813395341700420715e+00,1.933593750000000000e+01
1.600000000000000089e+00,5.052991104460243577e+00,4.490638792515143862e+00,2.500000000000000000e+01,7.228444316757062893e+00,5.760680009121481149e+00,2.285156249999999645e+01
1.700000000000000178e+00,4.851828774244256515e+00,4.451532331375345208e+00,2.626953125000000000e+01,6.964099748102451137e+00,5.754160567696979811e+00,2.236328124999999645e+01
1.800000000000000266e+00,4.602879859129810569e+00,4.294788542763602557e+00,2.773437500000000000e+01,6.731373329191105093e+00,5.547943375895076912e+00,2.226562500000000355e+01
1.899999999999999911e+00,4.332683428825377270e+00,4.114539611017373311e+00,2.998046874999999289e+01,6.468403711620025476e+00,5.475497501325070182e+00,2.226562500000000000e+01
2.000000000000000000e+00,4.121063010449903530e+00,3.995642277696815015e+00,3.046874999999999289e+01,6.218797962934501378e+00,5.338104707566055929e+00,2.412109375000000355e+01
2.100000000000000089e+00,3.917215377667496945e+00,3.828917873770975255e+00,3.349609375000000000e+01,5.960409381732480583e+00,5.252928575930751798e+00,2.451171875000000000e+01
2.200000000000000178e+00,3.742566111866556966e+00,3.704819767138460396e+00,3.300781250000000000e+01,5.688073145387812168e+00,5.065276706045055199e+00,2.626953125000000000e+01
2.299999999999999822e+00,3.567611840915484667e+00,3.570545145807767273e+00,3.457031249999999289e+01,5.447251856740321863e+00,4.944337658782687051e+00,2.822265624999999289e+01
2.400000000000000355e+00,3.418015540123046314e+00,3.444634728647599786e+00,3.388671874999999289e+01,5.306741940327784235e+00,4.847117488108330541e+00,2.939453125000000000e+01
2.500000000000000000e+00,3.267098935671330029e+00,3.272238073564686545e+00,3.242187500000000000e+01,5.113602652615648836e+00,4.788885336986028918e+00,3.144531250000000000e+01
2.600000000000000533e+00,3.162877663365379899e+00,3.202462392168866412e+00,2.910156250000000000e+01,4.909126996434791224e+00,4.663079120756846052e+00,2.753906250000000000e+01
2.700000000000000178e+00,3.037321930328473307e+00,3.073402529878533684e+00,2.763671875000000000e+01,4.718397870622760060e+00,4.573285130442051205e+00,2.675781250000000000e+01
2.799999999999999822e+00,2.920248813230910123e+00,2.924944133042243877e+00,2.998046874999999289e+01,4.539012265446215721e+00,4.395758280916584937e+00,2.548828125000000000e+01
2.900000000000000355e+00,2.810754990983296953e+00,2.810857839751325304e+00,3.046875000000000000e+01,4.420755788979154666e+00,4.188676198557474528e+00,2.783203125000000000e+01
3.000000000000000000e+00,2.713194649277622439e+00,2.713700866330546635e+00,2.871093750000000000e+01,4.218819852141707294e+00,4.029998162714578669e+00,2.978515625000000000e+01
3.100000000000000533e+00,2.606181861104698516e+00,2.583623657441921573e+00,2.783203125000000000e+01,4.025105528729446824e+00,3.811007892158913890e+00,3.056640625000000000e+01
3.200000000000000178e+00,2.524929446776838837e+00,2.491597268304455604e+00,2.402343749999999645e+01,3.839682853079390945e+00,3.699536790239966955e+00,3.046874999999999289e+01
3.299999999999999822e+00,2.401660395352441579e+00,2.353044977247420899e+00,2.509765625000000000e+01,3.651818221424063537e+00,3.559614457778499830e+00,2.851562500000000000e+01
3.400000000000000355e+00,2.326413168318007596e+00,2.280656308265344823e+00,3.066406250000000711e+01,3.444859087048037782e+00,3.393712473718360378e+00,3.056640625000000000e+01
3.500000000000000000e+00,2.225957721792505062e+00,2.183865352174662267e+00,3.251953125000000000e+01,3.286638216158316084e+00,3.224363462167396222e+00,3.007812499999999289e+01
3.600000000000000533e+00,2.121176787400226083e+00,2.082277754426999916e+00,3.115234375000000000e+01,3.191036459651512391e+00,3.141477817756678448e+00,3.193359375000000000e+01
3.700000000000000178e+00,2.003607182241271545e+00,1.981260253230442414e+00,3.095703125000000000e+01,3.037016807627271220e+00,3.011046174214199400e+00,3.125000000000000000e+01
3.799999999999999822e+00,1.923862040154387554e+00,1.911916874681227396e+00,3.066406250000000000e+01,2.927884865533158187e+00,2.902121194332943688e+00,2.958984375000000000e+01
